state,obesrate2016,obesrate2012,obesrate2008,obesrate2004,obesrate2000,obesrate1995,obesrate1990
Alabama,35.7,33,31.2,27.7,22.6,15.7,11.2
Alaska,31.4,25.7,27.2,23.5,20.9,15.7,
Arizona,29,26,24.8,20.3,14.9,12.6,10.6
Arkansas,35.7,34.5,28.6,25,21.9,17,
California,25,25,23.6,21.5,18.7,13.9,9.9
Colorado,22.3,20.5,18.9,16.4,14.5,10.7,6.9
Connecticut,26,25.6,21.3,18.6,16,11.8,10.4
Delaware,30.7,26.9,27.3,22.5,17.1,15.2,14.4
District of Columbia,22.6,21.9,22.3,21.2,20.1,12.8,14.4
Florida,27.4,25.2,24.1,20.7,18.4,14.3,11.4
Georgia,31.4,29.1,27.9,24.5,20.6,13.8,10.1
Hawaii,23.8,23.6,21.8,,15.7,10.6,8.9
Idaho,27.4,26.8,24.8,20.9,18.4,14.1,9.3
Illinois,31.6,28.1,25.9,22.9,20.4,15.3,12.1
Indiana,32.5,31.4,27.4,25.2,20.5,18.3,13.3
Iowa,32,30.4,26.7,23.4,20.9,16.2,12.2
Kansas,31.2,29.9,27.2,22.9,19.1,13.5,
Kentucky,34.2,31.3,29,25.3,21.7,16.6,12.7
Louisiana,35.5,34.7,28.9,25.8,22.6,17,12.3
Maine,29.9,28.4,24.7,21.3,18.9,14.3,10.9
Maryland,29.9,27.6,26,21.7,19.6,15,10.8
Massachusetts,23.6,22.9,21.2,17.8,15.3,11.6,10.1
Michigan,32.5,31.1,28.8,25.3,22.1,17.2,13.2
Minnesota,27.8,25.7,25.3,22.6,16.4,14.6,10.3
Mississippi,37.3,34.6,32.5,28.1,23.7,19.4,15
Missouri,31.7,29.6,28.1,23.9,21.4,16.9,11.3
Montana,25.5,24.3,22.7,19.1,15.6,13,8.4
Nebraska,32,28.6,26.9,23.4,20.1,15.2,11.3
Nevada,25.8,26.2,25.1,21.3,16,13.1,
New Hampshire,26.6,27.3,24.1,19.9,16.1,12.9,9.9
New Jersey,27.4,24.6,23.4,20.3,17,12.3,
New Mexico,28.3,27.1,24.6,20.5,17.4,11.6,8.1
New York,25.5,23.6,24.5,21.2,17.1,14.3,9.3
North Carolina,31.8,29.6,28.3,23.9,20.9,16.3,12.3
North Dakota,31.9,29.7,26.7,23.9,20.5,15.2,11.6
Ohio,31.5,30.1,28.6,24.4,20.6,16.1,11.3
Oklahoma,32.8,32.2,29.5,24.1,20.1,12.9,10.3
Oregon,28.7,27.3,25.4,21,19.9,13.6,11.2
Pennsylvania,30.3,29.1,26.7,24,20.3,16.2,13.7
Rhode Island,26.6,25.7,21.7,18.6,16.9,12.8,10.1
South Carolina,32.3,31.6,29.7,25.1,21.1,16.6,12
South Dakota,29.6,28.1,26.9,22.6,18.4,14.5,10.7
Tennessee,34.8,31.1,30.2,25.6,20.9,16.4,11.1
Texas,33.7,29.2,27.9,25.3,21.7,16,10.7
Utah,25.4,24.3,22.5,19.6,17.3,12,9
Vermont,27.1,23.7,22.1,19.1,17,13.4,10.7
Virginia,29,27.4,25.4,22.9,18.7,14.2,11.3
Washington,28.6,26.8,25.4,21.7,18.4,13.9,10.1
West Virginia,37.7,33.8,31.1,27.6,23.9,17.7,13.7
Wisconsin,30.7,29.7,26,21.9,19.4,16.4,11.8
Wyoming,27.7,24.6,24.3,20.1,16.6,14,
